,Antony,Artemidorus,Brutus,COMMONERS,COMMONERS.Carpenter,COMMONERS.Cobbler,Caesar,Calphurnia,Casca,Cassius,Cicero,Cinna,CinnaPoet,Decius,Flavius,Lepidus,Ligarius,Lucius,Marullus,Messenger,Metellus,Octavius,PETITIONERS,PLEBEIANS,PLEBEIANS.0,Pindarus,Poet,Popilius,Portia,Publius,SENATORS,SERVANTS.ANTONY.1,SERVANTS.CAESAR.1,SERVANTS.OCTAVIUS.1,SOLDIERS.ANTONY,SOLDIERS.BRUTUS,SOLDIERS.BRUTUS.Cato,SOLDIERS.BRUTUS.Claudius,SOLDIERS.BRUTUS.Clitus,SOLDIERS.BRUTUS.Dardanus,SOLDIERS.BRUTUS.Flavius,SOLDIERS.BRUTUS.Labeo,SOLDIERS.BRUTUS.Lucilius,SOLDIERS.BRUTUS.Messala,SOLDIERS.BRUTUS.Strato,SOLDIERS.BRUTUS.Titinius,SOLDIERS.BRUTUS.Varro,SOLDIERS.BRUTUS.Volumnius,SOLDIERS.CASSIUS,Soothsayer,Trebonius
SOLDIERS.BRUTUS.Dardanus,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,48.0,0.0,0.0,0.0
SOLDIERS.BRUTUS.Flavius,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,23.0,24.0,24.0,23.0,23.0,0.0,23.0,0.0,0.0,0.0
SOLDIERS.BRUTUS.Labeo,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,23.0,23.0,23.0,23.0,0.0,23.0,0.0,0.0,0.0
SOLDIERS.BRUTUS.Lucilius,97.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,50.0,0.0,80.0,0.0,0.0,279.0,58.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,173.0,56.0,0.0,0.0,0.0,24.0,23.0,0.0,169.0,53.0,216.0,0.0,23.0,25.0,0.0,0.0
SOLDIERS.BRUTUS.Messala,80.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,50.0,0.0,80.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,115.0,24.0,0.0,0.0,0.0,24.0,23.0,169.0,0.0,53.0,261.0,0.0,23.0,0.0,0.0,0.0
SOLDIERS.BRUTUS.Strato,30.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,23.0,0.0,48.0,48.0,23.0,23.0,53.0,53.0,0.0,23.0,0.0,71.0,0.0,0.0,0.0
SOLDIERS.BRUTUS.Titinius,50.0,0.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,50.0,0.0,50.0,0.0,0.0,371.0,70.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,173.0,23.0,0.0,0.0,0.0,23.0,23.0,216.0,261.0,23.0,0.0,0.0,23.0,25.0,0.0,0.0
SOLDIERS.BRUTUS.Varro,0.0,0.0,71.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS.BRUTUS.Volumnius,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,48.0,48.0,23.0,23.0,23.0,23.0,71.0,23.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS.CASSIUS,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
Soothsayer,58.0,104.0,133.0,29.0,0.0,0.0,133.0,29.0,133.0,133.0,29.0,104.0,0.0,133.0,29.0,104.0,0.0,21.0,29.0,0.0,104.0,0.0,104.0,0.0,0.0,0.0,0.0,16.0,50.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
Trebonius,161.0,29.0,383.0,0.0,0.0,0.0,229.0,25.0,383.0,358.0,0.0,383.0,0.0,383.0,0.0,29.0,25.0,0.0,0.0,0.0,383.0,0.0,29.0,0.0,0.0,0.0,0.0,16.0,0.0,54.0,29.0,22.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
