,ATTENDANTS,ATTENDANTS.1,Arcite,Artesius,Boy,Brother,COUNTRYMEN,COUNTRYWOMEN,Daughter,Doctor,Emilia,Epilogue,Executioner,FRIENDS.1,FRIENDS.2,GUARDS,Herald,Hippolyta,Hymen,Jailer,KNIGHTS.ARCITE,KNIGHTS.PALAMON,MAIDS,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,Maid,NYMPHS,OTHERS,Palamon,Pirithous,Prologue,QUEENS.1,QUEENS.2,QUEENS.3,SOLDIERS,SOLDIERS.0,Schoolmaster,Servant,Taborer,Theseus,Valerius,Woman,Wooer
QUEENS.3,255.0,0.0,0.0,227.0,240.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,240.0,0.0,284.0,284.0,0.0,15.0,18.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0
SOLDIERS,56.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,15.0,15.0,15.0,0.0,41.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0
SOLDIERS.0,716.0,128.0,1325.0,0.0,0.0,74.0,203.0,107.0,488.0,277.0,882.0,20.0,160.0,209.0,190.0,160.0,41.0,655.0,0.0,730.0,68.0,261.0,37.0,103.0,12.0,111.0,115.0,0.0,74.0,1251.0,706.0,0.0,18.0,18.0,18.0,41.0,0.0,179.0,86.0,85.0,696.0,0.0,62.0,500.0
Schoolmaster,67.0,0.0,0.0,0.0,0.0,0.0,133.0,107.0,64.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,85.0,67.0,0.0,0.0,0.0
Servant,47.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0
Taborer,0.0,0.0,0.0,0.0,0.0,0.0,85.0,83.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
Theseus,975.0,115.0,455.0,251.0,264.0,0.0,22.0,22.0,22.0,0.0,899.0,0.0,59.0,0.0,0.0,59.0,41.0,919.0,264.0,59.0,12.0,71.0,0.0,103.0,0.0,59.0,0.0,264.0,0.0,320.0,919.0,0.0,266.0,266.0,266.0,56.0,696.0,67.0,47.0,0.0,0.0,0.0,0.0,0.0
Valerius,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wooer,0.0,0.0,9.0,0.0,0.0,74.0,0.0,0.0,284.0,277.0,0.0,0.0,0.0,164.0,164.0,0.0,0.0,0.0,0.0,467.0,0.0,0.0,0.0,0.0,12.0,0.0,115.0,0.0,74.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
