,ALDERMEN,ATTENDANTS.EDWARD,ATTENDANTS.EDWARD.1,Bourbon,Clarence,Clifford,EdwardIV,EdwardV.Infant,Exeter,Father,GAMEKEEPERS.1,GAMEKEEPERS.2,Hastings,HenryVI,HenryVII,HughMortimer,Huntsman,JohnMortimer,KingLewis,LadyBona,Lieutenant,MESSENGERS.1,MESSENGERS.2,MESSENGERS.Post,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,MESSENGERS.X.4,MESSENGERS.X.5,MayorOfCoventry,MayorOfYork,Montague,Montgomery,Norfolk,Northumberland,Nurse,Oxford,Pembroke,PrinceEdward,QueenElizabeth,QueenMargaret,RichardIII,Rivers,Rutland,SOLDIERS.CLARENCE,SOLDIERS.FRENCH,SOLDIERS.LANCASTER,SOLDIERS.MONTAGUE,SOLDIERS.MONTGOMERY,SOLDIERS.OXFORD,SOLDIERS.SOMERSET,SOLDIERS.WARWICK,SOLDIERS.YORK,SOLDIERS.YORK.0.2,Somerset,Somerville,Son,Stafford,Stanley,Tutor,WATCHMEN.1,WATCHMEN.2,WATCHMEN.3,Warwick,Westmorland,York
MESSENGERS.X.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MayorOfCoventry,0.0,0.0,0.0,0.0,38.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,38.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,99.0,0.0,4.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0
MayorOfYork,67.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montague,0.0,144.0,0.0,0.0,431.0,325.0,720.0,0.0,197.0,0.0,0.0,0.0,144.0,387.0,90.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,80.0,5.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,314.0,243.0,0.0,125.0,128.0,100.0,144.0,100.0,728.0,0.0,0.0,0.0,0.0,143.0,3.0,0.0,0.0,0.0,115.0,375.0,0.0,217.0,3.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,636.0,143.0,273.0
Montgomery,49.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,0.0,0.0,0.0,0.0,100.0,243.0,314.0,0.0,165.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,0.0,0.0,243.0,0.0,0.0,0.0,100.0,0.0,100.0,314.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,143.0,214.0
Northumberland,0.0,0.0,0.0,0.0,100.0,484.0,243.0,0.0,143.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,243.0,0.0,243.0,0.0,0.0,0.0,0.0,341.0,0.0,341.0,243.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,143.0,303.0
Nurse,0.0,47.0,0.0,0.0,47.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oxford,0.0,0.0,0.0,266.0,256.0,0.0,108.0,0.0,32.0,0.0,0.0,0.0,0.0,122.0,105.0,0.0,0.0,0.0,266.0,266.0,90.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,0.0,356.0,74.0,0.0,0.0,38.0,69.0,82.0,3.0,0.0,2.0,4.0,0.0,74.0,0.0,289.0,50.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,489.0,0.0,0.0
Pembroke,0.0,128.0,0.0,0.0,119.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
