,AEDILES,AEDILES.X.1,AEDILES.X.2,AEDILES.X.3,ATTENDANTS.ROMAN,ATTENDANTS.VOLSCIAN,Adrian,Aufidius,CITIZENS.ANTIUM.1,CITIZENS.ROMAN,CITIZENS.ROMAN.1,CITIZENS.ROMAN.2,CITIZENS.ROMAN.3,CITIZENS.ROMAN.4,CITIZENS.ROMAN.5,CITIZENS.ROMAN.6,CITIZENS.ROMAN.7,CITIZENS.ROMAN.8,CITIZENS.VOLSCIAN,CONSPIRATORS,Cominius,Coriolanus,Gentlewoman,Herald,LICTORS,LORDS.VOLSCIAN,Lartius,MESSENGERS.TRIBUNES.1,MESSENGERS.TRIBUNES.2,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,MESSENGERS.X.4,Menenius,NOBLES,Nicanor,OFFICERS.1,OFFICERS.2,SENATORS.ROMAN,SENATORS.VOLSCIAN,SERVANTS.1,SERVANTS.2,SERVANTS.3,SOLDIERS.ROMAN,SOLDIERS.ROMAN.0,SOLDIERS.ROMAN.Lieutenant,SOLDIERS.ROMAN.Scout,SOLDIERS.ROMAN.Trumpeter,SOLDIERS.VOLSCIAN,SOLDIERS.VOLSCIAN.Lieutenant,TRIBUNES.Brutus,TRIBUNES.Sicinius,Usher,Valeria,Virgilia,Volumnia,WATCHMEN.1,WATCHMEN.2,YoungMartius
SOLDIERS.ROMAN.Lieutenant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS.ROMAN.Scout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS.ROMAN.Trumpeter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS.VOLSCIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS.VOLSCIAN.Lieutenant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIBUNES.Brutus,155.0,1.0,160.0,150.0,0.0,0.0,0.0,0.0,0.0,355.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,0.0,805.0,587.0,0.0,57.0,147.0,0.0,356.0,125.0,103.0,36.0,0.0,0.0,14.0,1205.0,0.0,0.0,147.0,147.0,573.0,0.0,0.0,0.0,0.0,57.0,1480.0,0.0,0.0,0.0,0.0,0.0,0.0,1551.0,0.0,124.0,171.0,171.0,0.0,0.0,0.0
TRIBUNES.Sicinius,155.0,1.0,160.0,150.0,0.0,0.0,0.0,0.0,0.0,355.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,0.0,805.0,587.0,0.0,57.0,147.0,0.0,356.0,157.0,130.0,36.0,0.0,0.0,14.0,1273.0,0.0,0.0,147.0,147.0,573.0,0.0,0.0,0.0,0.0,57.0,1548.0,0.0,0.0,0.0,0.0,0.0,1551.0,0.0,0.0,124.0,171.0,171.0,0.0,0.0,0.0
Usher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,66.0,0.0,0.0,0.0
Valeria,0.0,0.0,0.0,0.0,210.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,267.0,66.0,57.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,57.0,342.0,0.0,0.0,0.0,0.0,0.0,124.0,124.0,66.0,0.0,408.0,408.0,0.0,0.0,210.0
Virgilia,0.0,0.0,0.0,0.0,210.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,336.0,86.0,57.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,69.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,57.0,472.0,0.0,0.0,0.0,0.0,0.0,171.0,171.0,66.0,408.0,0.0,588.0,0.0,0.0,210.0
Volumnia,0.0,0.0,0.0,0.0,210.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,490.0,86.0,57.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,223.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,57.0,626.0,0.0,0.0,0.0,0.0,0.0,171.0,171.0,66.0,408.0,588.0,0.0,0.0,0.0,210.0
WATCHMEN.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0
WATCHMEN.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0
YoungMartius,0.0,0.0,0.0,0.0,210.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0,210.0,0.0,0.0,0.0
