,ATTENDANTS,ATTENDANTS.ANTONY,ATTENDANTS.CAESAR,ATTENDANTS.OCTAVIA,ATTENDANTS.ROMAN,Agrippa,Alexas,Ambassador,Antony,Boy,CAPTAINS,Canidius,Charmian,Cleopatra,Countryman,Demetrius,Diomedes,Dolabella,EUNUCHS,Egyptian,Enobarbus,Eros,GUARDS,GUARDS.CAESAR,GUARDS.CAESAR.1,GUARDS.Dercetus,Gallus,Iras,Lepidus,MESSENGERS.ANTONY.1,MESSENGERS.ANTONY.2,MESSENGERS.ANTONY.3,MESSENGERS.CAESAR.1,MESSENGERS.CAESAR.2,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,MESSENGERS.X.4,MESSENGERS.X.5,Maecenas,Mardian,Menas,Menecrates,Octavia,Octavius,Philo,Pompey,Proculeius,SERVANTS,SERVANTS.ANTONY,SERVANTS.Lamprius,SERVANTS.Lucillius,SERVANTS.Rannius,SERVANTS.X.1,SERVANTS.X.2,SOLDIERS,SOLDIERS.ANTONY,SOLDIERS.ANTONY.0,SOLDIERS.ANTONY.X.1,SOLDIERS.ANTONY.X.2,SOLDIERS.ANTONY.X.3,SOLDIERS.CAESAR,SOLDIERS.CAESAR.X.1,Scarus,Seleucus,Silius,Soothsayer,Taurus,Thidias,Varrius,Ventidius,WATCHMEN.1,WATCHMEN.2,WATCHMEN.Sentry
CAPTAINS,13.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,151.0,138.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,138.0,0.0,0.0,138.0,0.0,138.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canidius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charmian,107.0,57.0,134.0,0.0,0.0,0.0,416.0,20.0,572.0,0.0,13.0,0.0,0.0,1420.0,40.0,54.0,98.0,203.0,54.0,0.0,360.0,98.0,94.0,58.0,6.0,0.0,180.0,1402.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,146.0,0.0,0.0,0.0,134.0,399.0,0.0,0.0,0.0,134.0,54.0,0.0,211.0,15.0,46.0,92.0,92.0,92.0,4.0,73.0,0.0,13.0,49.0,0.0,20.0,0.0,46.0,0.0,0.0,40.0,0.0,92.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0
Cleopatra,107.0,57.0,134.0,0.0,0.0,0.0,334.0,20.0,680.0,0.0,13.0,60.0,1420.0,0.0,40.0,54.0,98.0,216.0,54.0,0.0,361.0,98.0,94.0,58.0,6.0,0.0,180.0,1356.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,146.0,3.0,0.0,0.0,134.0,317.0,0.0,0.0,0.0,134.0,54.0,0.0,211.0,15.0,46.0,10.0,10.0,10.0,4.0,73.0,0.0,51.0,49.0,8.0,20.0,0.0,46.0,0.0,38.0,40.0,0.0,10.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0
Countryman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demetrius,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,54.0,0.0,0.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diomedes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,105.0,0.0,0.0,3.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dolabella,0.0,0.0,178.0,0.0,0.0,52.0,0.0,23.0,0.0,0.0,0.0,0.0,203.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,47.0,0.0,0.0,148.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,138.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,10.0,0.0,0.0,40.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0
EUNUCHS,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,54.0,0.0,0.0,0.0,54.0,54.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egyptian,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
