,Coriolanus,Menenius,Volumnia,TRIBUNES.Sicinius,Cominius,TRIBUNES.Brutus,Aufidius,CITIZENS.ROMAN.3,SENATORS.ROMAN.0.1,Valeria,Lartius,SERVANTS.3,Virgilia,CITIZENS.ROMAN,CITIZENS.ROMAN.2,WATCHMEN.1,CITIZENS.ROMAN.0.1,CITIZENS.ROMAN.0.2,SERVANTS.2,CITIZENS.ROMAN.1,MESSENGERS.TRIBUNES.2,SERVANTS.1,MESSENGERS.TRIBUNES.1,Nicanor,Herald,SENATORS.VOLSCIAN.0.1,LORDS.VOLSCIAN.0.1,LORDS.VOLSCIAN.0.2,OFFICERS.2,CITIZENS.ROMAN.0.3,Adrian,SENATORS.ROMAN.0.2,OFFICERS.1,WATCHMEN.2,CONSPIRATORS.0.3,MESSENGERS.X.4,AEDILES.X.2,CONSPIRATORS.0.1,SOLDIERS.VOLSCIAN.Lieutenant,CITIZENS.ROMAN.4,AEDILES.X.3,MESSENGERS.X.3,SENATORS.ROMAN,CITIZENS.VOLSCIAN,YoungMartius,CONSPIRATORS.0.2,CITIZENS.ROMAN.7,LORDS.VOLSCIAN.0.3,SOLDIERS.ROMAN.0.1,SENATORS.VOLSCIAN.0.2,CITIZENS.ROMAN.6,CONSPIRATORS,CITIZENS.ROMAN.5,LORDS.VOLSCIAN,SOLDIERS.VOLSCIAN.0.1,MESSENGERS.X.2,MESSENGERS.X.1,CITIZENS.ANTIUM.1,AEDILES,CITIZENS.ROMAN.8,Gentlewoman,SOLDIERS.ROMAN,SOLDIERS.ROMAN.Lieutenant,NOBLES.0.1,SOLDIERS.ROMAN.0.3,SOLDIERS.ROMAN.0.2,SENATORS.VOLSCIAN,ATTENDANTS.VOLSCIAN,SOLDIERS.ROMAN.0,SOLDIERS.ROMAN.Scout,SOLDIERS.VOLSCIAN,ATTENDANTS.ROMAN,LICTORS,SOLDIERS.ROMAN.Trumpeter,AEDILES.X.1,NOBLES,Usher
Lartius,319.0,143.0,0.0,44.0,172.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,42.0,0.0,2.0,0.0,0.0,271.0,82.0,0.0,0.0,0.0,0.0,0.0,130.0,82.0,14.0,0.0,0.0,81.0,0.0,0.0,0.0
SERVANTS.3,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0.0,0.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virgilia,47.0,69.0,298.0,59.0,11.0,59.0,36.0,0.0,0.0,218.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,36.0,0.0,0.0,0.0,10.0,152.0
CITIZENS.ROMAN,92.0,128.0,0.0,163.0,99.0,163.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,7.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS.ROMAN.2,23.0,0.0,0.0,66.0,0.0,66.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,106.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WATCHMEN.1,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS.ROMAN.0.1,0.0,69.0,0.0,78.0,16.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS.ROMAN.0.2,7.0,321.0,0.0,17.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.2,72.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS.ROMAN.1,8.0,0.0,0.0,35.0,0.0,35.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,86.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
