,ALDERMEN,ATTENDANTS,Abergavenny,Anne,BISHOPS,BishopOfLincoln,Brandon,Buckingham,Butts,COMMONERS,Campeius,Capuchius,Chamberlain,Chancellor,Cranmer,Crier,Cromwell,Denny,ElizabethI.Infant,Epilogue,GENTLEMEN,GENTLEMEN.1,GENTLEMEN.2,GENTLEMEN.3,GENTLEMEN.X,GUARDS,Gardiner,Garter,Griffith,Guilford,HenryVIII,Katherine,Keeper,LADIES,LADIES.KATHERINE,LADIES.KATHERINE.Patience,LORDS,LordMayor,Lovell,MASKERS,Messenger,NOBLES,Norfolk,OldLady,Page,Porter,Prologue,SECRETARIES,SECRETARIES.X.1,SERVANTS,SERVANTS.PORTER.1,SERVANTS.X.1,Sands,Scribe,Sergeant,Suffolk,Surrey,Surveyor,Usher,Vaux,Wolsey
GENTLEMEN.X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUARDS,83.0,0.0,46.0,0.0,0.0,0.0,39.0,132.0,0.0,86.0,0.0,0.0,101.0,101.0,184.0,0.0,101.0,0.0,83.0,0.0,0.0,86.0,86.0,0.0,0.0,0.0,101.0,83.0,0.0,0.0,159.0,0.0,101.0,83.0,0.0,0.0,83.0,83.0,86.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,7.0,0.0,101.0,0.0,0.0,86.0,0.0,39.0,184.0,101.0,0.0,0.0,86.0,7.0
Gardiner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,214.0,214.0,214.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,101.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,214.0,0.0,66.0,0.0,0.0,0.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,214.0,214.0,0.0,0.0,0.0,25.0
Garter,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,86.0,0.0,0.0,86.0,86.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0
Griffith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guilford,0.0,101.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,137.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,11.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
HenryVIII,83.0,687.0,0.0,61.0,266.0,266.0,0.0,0.0,20.0,0.0,349.0,0.0,250.0,76.0,265.0,266.0,76.0,11.0,83.0,0.0,61.0,0.0,0.0,0.0,0.0,159.0,101.0,83.0,0.0,61.0,0.0,387.0,96.0,144.0,0.0,0.0,349.0,83.0,479.0,61.0,0.0,247.0,541.0,17.0,0.0,0.0,0.0,0.0,124.0,157.0,0.0,0.0,61.0,266.0,0.0,569.0,189.0,123.0,148.0,0.0,770.0
Katherine,0.0,387.0,0.0,0.0,148.0,148.0,0.0,0.0,0.0,0.0,325.0,72.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,195.0,0.0,387.0,0.0,0.0,0.0,203.0,195.0,148.0,0.0,239.0,0.0,12.0,239.0,239.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,148.0,0.0,239.0,0.0,123.0,148.0,0.0,564.0
Keeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,214.0,214.0,253.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,214.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,214.0,214.0,0.0,0.0,0.0,0.0
LADIES,86.0,101.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,86.0,0.0,0.0,0.0,86.0,0.0,144.0,0.0,0.0,0.0,0.0,83.0,0.0,86.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,86.0,86.0,137.0,61.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,11.0,137.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,101.0
