,ATTENDANTS,ATTENDANTS.ENGLISH,ATTENDANTS.FRENCH,Arthur,Austria,Bastard,Bigot,Blanche,CITIZENS,Chatillion,Constance,Dauphin,EXECUTIONERS,Essex,Gurney,HERALDS.ENGLISH,HERALDS.FRENCH,Hubert,KingJohn,KingPhilip,LadyFaulconbridge,MESSENGERS.ENGLISH.1,MESSENGERS.FRENCH.1,Melun,Pandulph,Pembroke,Peter,PrinceHenry,QueenEleanor,RobertFaulconbridge,SOLDIERS.1,SOLDIERS.ENGLISH,SOLDIERS.FRENCH,Salisbury,Sheriff
KingPhilip,285.0,0.0,659.0,836.0,836.0,745.0,0.0,753.0,343.0,262.0,927.0,944.0,0.0,0.0,0.0,240.0,240.0,0.0,753.0,0.0,0.0,0.0,0.0,0.0,330.0,468.0,0.0,0.0,753.0,0.0,0.0,468.0,551.0,747.0,0.0
LadyFaulconbridge,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.ENGLISH.1,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.FRENCH.1,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melun,0.0,0.0,0.0,0.0,0.0,65.0,239.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,239.0,0.0,0.0,0.0,0.0,56.0,183.0,183.0,239.0,0.0
Pandulph,222.0,25.0,108.0,222.0,222.0,279.0,119.0,222.0,0.0,0.0,313.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,330.0,0.0,0.0,0.0,119.0,0.0,119.0,0.0,0.0,222.0,0.0,0.0,119.0,119.0,341.0,0.0
Pembroke,0.0,104.0,468.0,578.0,468.0,705.0,455.0,468.0,343.0,258.0,468.0,651.0,0.0,30.0,0.0,240.0,240.0,81.0,697.0,468.0,0.0,0.0,0.0,239.0,119.0,0.0,0.0,119.0,498.0,0.0,56.0,651.0,651.0,1070.0,0.0
Peter,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrinceHenry,0.0,0.0,0.0,0.0,0.0,72.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0
QueenEleanor,285.0,83.0,468.0,836.0,753.0,901.0,0.0,753.0,343.0,258.0,753.0,753.0,0.0,187.0,0.0,240.0,240.0,83.0,1023.0,753.0,0.0,0.0,0.0,0.0,222.0,498.0,0.0,0.0,0.0,138.0,0.0,468.0,468.0,934.0,4.0
RobertFaulconbridge,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,138.0,0.0
SOLDIERS.1,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0
SOLDIERS.ENGLISH,0.0,0.0,468.0,468.0,468.0,533.0,183.0,468.0,343.0,228.0,468.0,651.0,0.0,0.0,0.0,240.0,240.0,0.0,468.0,468.0,0.0,0.0,0.0,183.0,119.0,651.0,0.0,0.0,468.0,0.0,0.0,0.0,651.0,645.0,0.0
SOLDIERS.FRENCH,0.0,0.0,551.0,551.0,551.0,533.0,183.0,468.0,343.0,262.0,551.0,734.0,0.0,0.0,0.0,240.0,240.0,0.0,468.0,551.0,0.0,0.0,0.0,183.0,119.0,651.0,0.0,0.0,468.0,0.0,0.0,651.0,0.0,645.0,0.0
Salisbury,285.0,104.0,462.0,934.0,747.0,1114.0,460.0,747.0,337.0,258.0,824.0,930.0,0.0,187.0,0.0,234.0,234.0,81.0,1133.0,747.0,0.0,0.0,0.0,239.0,341.0,1070.0,0.0,124.0,934.0,138.0,56.0,645.0,645.0,0.0,4.0
Sheriff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0
