,ATTENDANTS,ATTENDANTS.GAUNT,ATTENDANTS.HENRY,AbbotOfWestminster,Aumerle,Bagot,Berkeley,BishopOfCarlisle,Bushy,DuchessOfGloucester,DuchessOfYork,Exton,Fitzwater,Gardener,Gaunt,Green,Groom,HERALDS.1,HERALDS.2,HERALDS.X,HenryIV,Hotspur,Jailer,LADIES,LORDS,LORDS.1,LordMarshal,Mowbray,Northumberland,OFFICERS,OFFICERS.0,OFFICERS.0.1,Queen,RichardII,Ross,SERVANTS.EXTON,SERVANTS.GARDENER.1,SERVANTS.GARDENER.2,SERVANTS.YORK.1,SOLDIERS.HENRY,SOLDIERS.RICHARD,Salisbury,Scroop,Surrey,WelshCaptain,Willoughby,York
HERALDS.1,0.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,229.0,0.0,229.0,0.0,0.0,0.0,248.0,0.0,248.0,205.0,0.0,248.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERALDS.2,0.0,0.0,0.0,0.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,0.0,229.0,0.0,0.0,229.0,0.0,0.0,0.0,229.0,0.0,229.0,186.0,0.0,229.0,0.0,0.0,0.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERALDS.X,0.0,0.0,0.0,333.0,333.0,332.0,0.0,333.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,333.0,0.0,0.0,0.0,333.0,0.0,0.0,333.0,333.0,330.0,47.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,218.0
HenryIV,191.0,0.0,220.0,333.0,912.0,332.0,105.0,367.0,37.0,0.0,71.0,15.0,373.0,0.0,482.0,37.0,0.0,229.0,229.0,333.0,0.0,750.0,0.0,0.0,495.0,333.0,291.0,377.0,813.0,562.0,330.0,252.0,0.0,735.0,116.0,23.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,333.0,0.0,116.0,737.0
Hotspur,0.0,0.0,200.0,333.0,496.0,332.0,105.0,367.0,0.0,0.0,0.0,15.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,750.0,0.0,0.0,0.0,28.0,333.0,0.0,0.0,722.0,333.0,330.0,109.0,0.0,315.0,116.0,23.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,333.0,0.0,116.0,544.0
Jailer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LADIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,98.0,0.0,104.0,212.0,98.0,0.0,0.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORDS,211.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,459.0,37.0,0.0,248.0,229.0,0.0,495.0,28.0,0.0,0.0,0.0,0.0,248.0,396.0,37.0,248.0,0.0,28.0,0.0,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
LORDS.1,0.0,0.0,0.0,333.0,333.0,332.0,0.0,333.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,333.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,333.0,330.0,47.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,218.0
LordMarshal,0.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,248.0,229.0,0.0,291.0,0.0,0.0,0.0,248.0,0.0,0.0,205.0,0.0,248.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
